AsciiScene,Setup,Room
002,00,06,0096 00A3 015F 0012 0021 0056 0026 0090 00AD 00B7
002,04,06,0096 00A3 0056 0090 00AD
002,00,07,0096 00A3 0007 0012 0021 0056 0026 00D5 0022
002,04,07,0096 00A3 00D5 0056
002,00,08,0096 00A3 0007 0012 0021 0056 0026 00D5 000E 0090
002,04,08,0096 00A3 00D5 0021 000E 0090
002,00,09,0096 00A3 0007 0012 0021 0056 0026 000E 0090
002,04,09,0096 00A3 0026 000E 0090
002,00,10,0096 00A3 0007 0012 0021 0056 0026 00D5 000E 0090
002,04,10,0096 00A3 00D5 000E 0090
002,00,11,0096 00A3 0007 0012 0021 0056 0026 00D5 000E
002,04,11,0096 00A3 00D5 000E
002,00,12,0096 00A3 0007 0012 0021 0056 0026 000E 0090
002,04,12,0096 00A3 0007 000E
002,00,13,0096 00A3 0007 0012 0021 0056 0026 00AC 00BD
002,04,13,0096 00A3
002,00,14,0096 00A3 0007 0012 0021 0056 0026 00B7 0024 015C
002,04,14,0096 00A3
002,00,15,0096 00A3 0007 0012 0021 0056 0026 00AC
002,04,15,0096 00A3
003,00,00,0073 0072 0183 005D 0024 00A4 000E 0039 015C
003,00,01,0073 0072 0099 005D 0024 00A4 000E 0039 0190 00A8
003,00,02,0073 0072 0099 005D 0024 00A4 000E 0007 0039 00B7 015C 0190 00A8
003,00,03,0073 0072 0099 005D 0024 00A4
003,00,04,0073 0072 0099 005D 0024 00A4
003,00,05,0073 0072 0099 005D 0024 00A4
003,00,06,0073 0072 0099 00A4 000E 0090 005C 006F 0032
003,00,07,0073 0072 011C 0154 0024 00A4 000E 0007 0039 00B7 015C
003,00,08,0073 0072 0099 005D 0024 00A4 000E 0007 0039 00B7 015C
003,00,09,0073 0072 0099 005D 0024 00A4 000E 0007 0039 00B7
003,00,10,0073 0072 0099 005D 0024 00A4 000E 0007 0039 00B7 0090
003,00,11,0073 0072 0099 00A4 000E 0090 005C 006F 005D 0024 00B7
003,00,12,0073 0072 0099 00A4 000E 0090 005C 006F
003,00,13,0073 0072 0099 00A4 000E 0090 0070 0071
003,00,14,0073 0072 0099 00A4 000E 0090 0070 0071 000D 005D 0024
003,00,15,0073 0072 0099 005D 0024 00A4 000E
003,00,16,0073 0072 0099 005D 0024 00A4 000E
003,00,17,0073 0072 0099 005D 0024 00A4 000E 00B0 015C
003,00,18,0073 0072 0099 005D 0024 00A4 000E 0090 000B 00B7
003,00,19,0073 0072 0099 00A4 000E 0090 005C 006F 000B
003,00,20,0073 0072 0099 00A4 000E 0090 0070 0071 005D 000B
003,00,21,0073 0072 0099 005D 0024 00A4 000E 0007 0039 00B7
003,00,22,0073 0072 0099 005D 0024 00A4 000E 00B0
004,00,00,002C 000E 005D 000D 0085 00A4 005F
004,00,01,002C 000E 005D 000D 0085 00A4 005F 0190 00A8
004,00,02,002C 000E 00B0 009D 00C9 011C
004,00,03,002C 0025 005D 000D 0085 00A4 005F 000E 0090 009E
004,00,04,002C 0025 005D 000D 0085 00A4 005F 000E 00C9
004,00,05,002C 0025 011F 000E 00C9 011C 0024 015C 0154
004,00,06,002C 0025 005D 000D 0085 00A4 005F 000E 00B7
004,00,07,002C 0025 005D 000D 0085 00A4 005F 0024 015C
004,00,08,002C 0025 000D 0085 011C 00A4 000E 0024 015C
004,00,09,002C 0025 005D 000D 0085 00A4 005F 000E
004,00,10,002C 00A4 000E 00C9 011C 0190 00A8 011F 018E 000D 0085 005F
004,00,11,002C 00A4 000E 00C9 011C 0190 00A8 011F 018E 000D 0085 005F
004,00,12,002C 0025 005D 000D 0085 00A4 005F
004,00,13,002C 0025 005D 000D 0085 00A4 005F 000E 011F 00B7
004,00,14,002C 0025 005D 000D 0085 00A4 005F 000E 008B
004,00,15,002C 0025 005D 000D 0085 00A4 005F
004,00,16,002C 0025 005D 000D 0085 00A4 005F 000E 00B7 018E
004,00,17,002C 00C9 000E
004,00,18,002C 0025 005D 000D 0085 00A4 005F 0024 015C 00D4 00DC 00F2
004,00,19,002C 0025 005D 000D 0085 00A4 005F 0024 015C 00D4 00F2 00DC
004,00,20,002C 000E 00A4 00C9
004,00,21,002C 0025 005D 000D 0085 00A4 005F 0024 015C 00B7
004,00,22,002C 000E 00A4 00C9
004,00,23,002C 0025 005D 000D 0085 00A4 005F 000E 00C9
004,00,24,002C 0025 005D 000D 0038 0085 00A4 005F 009E
004,00,25,002C 0025 005D 000D 0038 0085 00A4 005F 000E
004,00,26,002C 000E 00B0 009D 00C9 011C
005,00,00,0059 00A4 00B5 00E5 0016 0026 000E 0090 00A4 011C 00CA 0154
005,00,01,0059 00A4 00B5 00E5 0016 0026 000E 0090 00A4 011C 0024 015C
005,00,02,0059 013B 013A 011C 00B5 00E5 0016 0012 0026 000E 0090 00A4
005,00,03,0059 013B 013A 011C 00B5 00E5 0016 0012 0026 0024 015C
005,00,04,0059 013B 013A 011C 00B5 00E5 0016 0012 0026 000E
005,00,05,0059 013B 013A 011C 00B5 00E5 0016 0012 0026 000D 0024 015C
005,00,06,0059 0125 00B5 00E5 0016 0012 0026 011C 00D4 00DC 00F2 000D
005,00,07,0059 0125 013B 013A 00B5 00E5 0016 0012 0026 011C 000E 0090 0190 00A8
005,00,08,0059 013B 013A 011C 00B5 00E5 0016 0026 000E 011F 00B7 000D 0024 015C
005,00,09,0059 013B 013A 011C 00B5 00E5 0016 0026 000E
005,00,10,0059 013B 013A 011C 00B5 00E5 0016 0012 0026 000E 0090
005,00,11,0059 013B 013A 011C 00B5 00E5 0016 0012 0026 00B0 0090 0085
005,00,12,0059 013B 013A 011C 00B5 00E5 0016 0012 0026 011F 0090 0024 015C
005,00,13,0059 0125 013B 013A 0020
005,00,14,0059 013B 013A 011C 00B5 00E5 0016 0012 0026 000E 0090
005,00,15,0059 013B 013A 011C 00B5 00E5 0016 0012 0026 000E 00A4 0090
005,00,16,0059 013B 013A 011C 00B5 00E5 0016 0012 0026 000E 0090
005,00,17,0059 00A4 00B5 00E5 0016 0026 000E 0090 00A4 011C 00CA
005,00,18,0059 013B 013A 011C 00B5 00E5 0016 0012 0026 000E 0090
005,00,19,0059 013B 013A 011C 00B5 00E5 0016 0012 0026 000E 0090
005,00,20,0059 00A4 00B5 00E5 0016 0026 000E 0090 00A4 011C
005,00,21,0059 013B 013A 011C 00B5 00E5 0016 0026 000E 011F 00B7 000D 0024 015C 00B7
005,00,22,0059 013B 013A 011C 00B5 00E5 0016 0012 0026 00B0
006,00,00,00F1 016D 00A4 0038 00B3 0085 000D 008B
006,00,01,00F1 016D 00A4 0038 00B3 0085 000D 008B
006,00,02,00F1 016D 00A4 0090 000E 000D 015C 0024 000B
006,00,03,00F1 016D 005D 0032 000E
006,00,04,00F1 016D 00AB 012A 0024 000E 0090 001B 015C
006,00,05,00F1 016D 00AB 00B0 00A4 012A 000E 0090 0154 0038 011C 0024
006,00,06,00F1 016D 000E 005D
006,00,07,00F1 016D
006,00,08,00F1 016D 00AB 012A 000E 00A4 0183 0085 008B
006,00,09,00F1 016D 002C 0024 015C
006,00,10,00F1 016D 016C 0106
006,00,11,00F1 016D 016C 0106
006,00,12,00F1 016D 000E 00D4 00DC 00F2
006,00,13,00F1 016D 011F 0024 015C 0190 00A8
006,00,14,00F1 016D 0183 0017 000E
006,00,15,00F1 016D 00AB 012A 00D4 00CB 00DC 00F2 000B 000E 0114
006,00,16,00F1 016D 008B
006,00,17,00F1 016D 00D6 0024 008B 0190 00A8
006,00,18,00F1 016D 00AB 012A 0038 0085
006,00,19,00F1 016D 000E
006,00,20,00F1 016D 016C 0106
006,00,21,00F1 016D 000E
006,00,22,00F1 016D 000E 0090 0179 011C 018E 002B 0025
006,00,23,00F1 016D 008B 0024 0085 0059 0059 00B7
006,00,24,00F1 016D
006,00,25,00F1 016D 00AB 00B0 00A4 012A 000D 0025 000B 000E 0090
006,00,26,00F1 016D 00AB 001B 005D 000E 012A
006,00,27,00F1 016D 00D6 0085
006,00,28,00F1 016D 00AB 00B0 00A4 012A 000D 0025 000B 000E 0090
007,00,00,0069 0187 000E
007,00,01,0069 0187 0098 000E 0090 000D
007,00,02,0069 0187 008B 012F 000E 00A4
007,00,03,0069 0187 00B0 005D
007,00,04,0069 0187 00A6 000E 0090
007,00,05,0069 0187 008B 012F
007,00,06,0069 0187 000E 00B7
007,00,07,0069 0187 000E 0098 000D 00A4 0090
007,00,08,0069 0187 000E 008B 012F 0024 005D 0009 0085
007,00,09,0069 0187 008B 0024 0085 0032 000B 005D
007,00,10,0069 0187 000E 0090 012F 0024 015C 0085 00A4
007,00,11,0069 0187 000E 0090 0098 0024 015C
007,00,12,0069 0187 00AA 00CE 00CD 00D8 000D 0024 0177 0031
007,00,13,0069 0187 000E 0098
007,00,14,0069 0187 000E 0031 000D 0085 00AA 0024 015C
007,00,15,0069 0187 000B 005D
007,00,16,0069 0187 000E 000D 0024 015C 00D4 00DC 00F2 00CB 0190 00A8 00B7
007,00,17,0069 0187 0098 000E 0090 000B
007,00,18,0069 0187 000D 0024 0085
007,00,19,0069 0187 0098 000E 0090
007,00,20,0069 0187 008D 0098 000E 0090 0085
007,00,21,0069 0187 0031 011C 0032 0024 015C 0154 00A8 0190 00B7
007,00,22,0069 0187 00B0
008,00,00,008D 0187 000B 000E 0090 0024 012B 000D 005D 00D4 0163 015C 00DC 00F2 00CB
008,00,01,008D 0187 0098 000E 0090 012B 0031 0163 00A6 00A4
008,00,02,008D 0187 0098 00A4 000D 00B7
008,00,03,008D 0187 000E 0090 000D 008B
008,00,04,008D 0187 000E 0090 00A6
008,00,05,008D 0187 000E 0090 0024 012B 000D 0031 0163 015C
008,00,06,008D 0187 0039 0024 015C
009,00,00,006B 0114 000D
009,04,00,006B 008A 00B6
009,00,01,006B 0114 00A1 000D 0085
009,04,01,006B 008A 00B6
009,00,02,006B 0114 0085
009,04,02,006B 008A 00B6
009,00,03,006B 012C 00B7 015C 0024
009,04,03,006B 008A 00B6
009,00,04,006B 008A 0114 000E 0085 0090 00B7
009,04,04,006B 008A 00B6
009,00,05,006B 0021 000D 0024 015C 0190 00A8
009,04,05,006B 008A 00B6
009,00,06,006B 008A 0114 000E 0085 0090 00B7 000D
009,04,06,006B 008A 00B6
009,00,07,006B 008A 000E 0090 0183
009,04,07,006B 008A 00B6
009,00,08,006B 0114 0085
009,04,08,006B 008A 00B6
009,00,09,006B 0114 000E 00B7 0090 000D 0085 0024 015C
009,04,09,006B 008A 00B6
009,00,10,006B 008A 0114 000E 0085 012C 0090 00B7 0024 015C
009,04,10,006B 008A 00B6
009,00,11,006B 0114 000E 0090 0085 000D 0024 015C
009,04,11,006B 008A 00B6
010,00,00,0139 00A4 0085 000D 001B
010,00,01,0139 00A4 0085 000D 001B
010,00,02,0139 00A4 0085 000D 001B 0032 000E
010,00,03,0139 00A4 0085 000D 001B 0032 000E
010,00,04,0139 00A4 0085 000D 0106 000E
010,00,05,0139 00B0
010,00,06,0139 00B0
010,00,07,0139 00A4 0085 000D 001B 00B0
010,00,08,0139 00B0
010,00,09,0139 00B0
011,00,00,004D 00A4 000E 0090 00B9 0177
011,00,01,004D 000E 0090 0032 011F 0085
011,00,02,004D 002C 011F 000E 0090 018E 011C 000B
011,00,03,004D 011C 0183 000E 0090 006B 018E
011,00,04,004D 000E 0090 000D 011C 0154 017F
011,00,05,004D 002C 000D 000E 0090 00B7 0025
011,00,06,004D 002B 005D 011C 00A4 000E 0024 015C 00A8 0190
011,00,07,004D 002C 000E 0090 001B 008B 00B7 017F
011,00,08,004D 002B 005D 011C 00A4 000E 0154
011,00,09,004D 000E 0090 00B5 00E5 0021 0059 013B 011C 0085 0190 00A8
011,00,10,004D 000E 0090 00D4 00DC 00F2 0114
012,00,00,00A4 0122 014B 0169 0167 0170 0116
012,00,01,00A4 0122 014B 0169 0167 0170 0116
012,00,02,00A4 0122 014B 0169 0167 0170 0116
012,00,03,00A4 0122 014B 0169 0167 0170 0024 0116
012,00,04,00A4 0122 014B 0169 0167 0170 0116
012,00,05,00A4 0122 014B 0169 0167 0170 0024 0116
013,00,00,0179 008B 009A 0085 005D
013,00,01,0179 000E 009A 0168 004A
013,00,02,0179 006B 0114 000E
013,00,03,0179 006B 0114 005D 000D 000B
013,00,04,0179 006B 00ED 00CA 00BA 0075
013,00,05,0179 0069 00A4 000D 0183 000E 0090
013,00,06,0179 0069 008B 011C 0190 00A8
013,00,07,0179 0069 00ED 00BA 00BC 0075
013,00,08,0179 006B 0114 005D 000D 000B 011F 011C
013,00,09,0179 002C 0024 000E 011F 0114 0090 000D
013,00,10,0179 000B 00ED 00BA 00A7
013,00,11,0179 000B 00ED 00BA 00A7 0075
013,00,12,0179 00A4 00D4 000E 0090 0114 0059 005D 00B7 0190 00A8 00F2 00DC 011C
013,00,13,0179 00F1 016D 00BA 00ED 0087 0075
013,00,14,0179 002C 0025 005D 011C 009A 00B7 0190 00A8
013,00,15,0179 002C 00BA 00ED 009D 0075
013,00,16,0179 000E 009A 0168 004A
013,00,17,0179 0085 000E 0090 0038 011C 008B 00B7
013,00,18,0179 012A 0025 00AB 000B 0085 000E 0090 00A4
013,00,19,0179 0072 0073 00BA 00ED 00B3 0075
014,00,00,0139 0060 014F 0156 0092
014,00,01,0139 0060 014F 0156 0032 0092
014,00,02,0139 0060 014F 0156 0092 000B
014,00,03,0139 0060 014F 0156 0092
014,00,04,0139 0060 014F 0156 0092
015,00,00,0139 0060 014F 0139 0156 0092 0098
015,00,01,0139 0060 014F 0139 0156 0092
016,00,00,000E 0155 00BD 00AA 017F 016B
016,00,01,000E 0155 00BD 00AA 017F 016B
016,00,02,000E 0155 00BD 00AA 017F 016B
016,00,03,000E 0155 00BD 00AA 017F 016B
016,00,04,000E 0155 00BD 00AA 017F 016B
016,00,05,000E 0155 00BD 00AA 017F 016B
016,00,06,000E 0155 00BD 00AA 017F 016B
017,00,00,0036 001C 001E 0048 00BD 012B
017,00,01,0036 001C 001E 0048 00BD 012B
018,00,00,002B 0019 000E 0031 0048 00BD
018,00,01,002B 0019 000E 0031 0048 00BD
019,00,00,0096 00A3 008C 0021 0012 0048 00BD
019,00,01,0096 00A3 008C 0021 0012 0048 00BD
020,00,00,0037 005A 0075 00BD 0048 00B0
020,00,01,0037 005A 0075 00BD 0048 00B0
021,00,00,002C 00B0 009C 00A5 0075 00BD 0048
021,00,01,002C 00B0 009C 00A5 0075 00BD 0048
022,00,00,0059 0048 0075 00BD 0012 0021 00B4 00B0
022,00,01,0059 0048 0075 00BD 0012 0021 00B4 00B0
023,00,00,016D 00B0
023,04,00,016D
023,05,00,016D
023,06,00,016D 00B0
023,00,01,016D 00B0 00C1 0090 0106 00B3 016C
023,04,01,016D 00C1 0090 0106 00B3 016C
023,05,01,016D 00C1 0090 0106 00B3 016C
023,06,01,016D 00B0 00C1 0090 00B3 016C
023,00,02,016D
023,04,02,016D
023,05,02,016D
023,06,02,016D
023,00,03,016D 00D3 00BD 0075 0048
023,04,03,016D 00D3 00BD 0075 0048
023,05,03,016D 00D3 00BD 0075 0048
023,06,03,016D 00D3 00BD 0075 0048
024,00,00,0069 0048 0075 00B0 00E2 00BD
024,00,01,0069 0048 0075 00B0 00E2 00BD
025,00,00,00E1 014F 017C 017D 0060 0048 014C 012C 00B0
026,00,00,0060 014F 0156 017D 00E1 0092 0048
027,00,00,0097 016B
028,00,00,0097 016B
029,00,00,001A
030,00,00,0107 0097 0013 00C5 010C 0108 0105 0107 0111 0115 016B
031,00,00,016B 0097
032,00,00,00C5 0105 0107 0108 010D 010C 0111 0013 007C 00E0 016B 0170 016A 0182 018C
033,00,00,0097 00C5 007C 00E0 016B 0111 0182 0170
034,00,00,001A 0098
035,00,00,0097 017A 0188 016B
036,00,00,0097 017A 0188 016B
037,00,00,0097 017A 0188
038,00,00,00FC 00FD 00C5 012C
039,00,00,00FC 00FD 00C5 012C
040,00,00,00C5 00FC 00FD 00FB 000E
041,00,00,00FC 00FD 00C5 00BC 00B7
042,00,00,00C5 0105 0107 0088 010D 010C 0111 0115 0121 0122
043,00,00,010C 00C5 0111 0107 016B 012C
044,00,00,005B 00B2 00D8 00B7 00C7 00DC 00BB 00CE 00C5 0107 00C9 016B
045,00,00,00FC 00D8 00B7 00CB 00BB 00C7 00B2 0119 0101 0102 00FD 00C5
046,00,00,00C9 00B7 00C7 00CE 00B2 00EB 00F2 00F8 0103 00AF
047,00,00,005B 00B2 00B7 00BB 00D8 00EB 00F4 00F2 0104 00FE
048,00,00,0159 00B2 00EB 0173 0174 0175 00F4 0176 0177 0122 00BB
049,00,00,0159 00B2 00EB 0173 0174 0175 00F4 0176 0177 00C5 010C 016B 00BB
050,00,00,0165 00B2 0148 00D9
051,00,00,013E 00B2 0134 0135 0136 0137 0138 0150 0151 0152 0111 00C5 016B
052,00,00,012C 018B 0013
052,04,00,000E 0029 0034 004B
052,05,00,000E 0029 0034 004B
053,00,00,012C 00C5 0105 0107 0108 010D 010C 0111 0115 016B 0170
054,00,00,0027 0088 00D0 00C0 018B
055,00,00,00C5 0111 0115 0105 0107 0108 010D 010C 0110 018B 0170
056,00,00,0132 00C5 0170 0024
057,00,00,00C5 0122 013C
058,00,00,0098
059,00,00,0095 0091 000A 0048
059,04,00,0095 0091 000A 0048
059,05,00,0095 0091 000A 0048
059,06,00,0095 0091 000A 0048
060,00,00,0090 0091 0094
061,00,00,000A 015D 0090
061,04,00,000A 015D 0090 0048
061,05,00,000A 015D 0090 0048
061,06,00,000A 015D 0090 0048
062,00,00,000E 0188
062,00,01,0168
062,00,02,000E 0090 0098
062,00,03,018B 00B7 017F
062,00,04,0036 0188 0024 012C 018B
062,00,05,0007
062,00,06,0168
062,00,07,000E 0090 0183
062,00,08,018A 0188 0024 012C
062,00,09,0168
062,00,10,0016
062,00,11,0171 012F 0172 00C7 00BB
062,00,12,0168
062,00,13,0024
063,00,00,0089 000E 0098 00A4
064,00,00,018A 000E 00A4 000A
065,00,00,008D 0098 00A4 000D 000E 0090 018F
065,04,00,002B 0098 00A4 000D
065,05,00,002B 0098 00A4 000D
065,00,01,008D 0098 00A4 000D 000E 0090 018F
065,04,01,002B 0098 00A4 000D
065,05,01,002B 0098 00A4 000D
065,00,02,008D 0098 00A4 000D 000E 0090 018F
065,04,02,002B 0098 00A4 000D
065,05,02,002B 0098 00A4 000D
066,00,00,005B 00B7 00BB 00BD 00BE 00CE 00D8 0013 0119 012F 017B 017F 016B
066,05,00,00B6
066,06,00,00B6 0048 0075
067,00,00,005E 008A 00AD 00B6 0092 00A8 0090 00A1
067,04,00,005E 008A 0090 00AD 00B6 0092 00A8 00A1
067,05,00,005E 00A8
067,06,00,005E 008A 0090 00AD 00B6 0092 00A8 00A1
067,07,00,005E 0092 00A8
067,08,00,005E 0092 00A8
067,09,00,005E 0092 00A8
067,10,00,005E 0092 00A8
067,11,00,005E
067,12,00,005E 008E 0092 00A8
067,13,00,005E 008E 0092 00A8
067,14,00,005E 008E 0092 00A8
067,00,01,005E 008A 00AD 00B6 0092 00A8 0090 0061 0062 0060
067,04,01,005E 0061 0062 008A 0060 0090 00AD 00B6 0092 00A8
067,05,01,005E 0061 0062
067,06,01,005E 0061 0062 008A 0060 0090 00AD 00B6 0092 00A8
067,07,01,005E 0061 0062 00AD 0090
067,08,01,005E 0061 0062 00AD 0090
067,09,01,005E 0061 0062 00AD 0090
067,10,01,005E 0061 0062 00AD 0090
067,11,01,005E 0061 0062 00AD 0090 0191 0047
067,12,01,005E 0061 0062 008A 00AD 0060 014E
067,13,01,005E 0061 0062 008A 00AD 0060 014E
067,14,01,005E 0061 0062 008A 0060 0090 0048 00AD 014E 0158
068,00,00,00BC 0087 009D 00CA 00B3 00BA 0048 0090
068,04,00,004B 009D 00A7 00BA 002E 0029 0034
068,05,00,0095 00BC 0087 009D 00A7 00B3 0090
068,06,00,00BC 00CA 0087 009D 00A7 00B3 0048 0090 00ED
069,00,00,0029 0034 0057 0097
070,00,00,0029 0034 0057 0097 0013
071,00,00,008E 008F 0090 0091 0092 0093 0094 0095
071,04,00,008E 008F 0090 0091 0092 0093 0094 0095
071,05,00,009B 002D
071,06,00,008E 008F 0090 0091 0092 0093 0094 0095
071,07,00,009B
071,08,00,008E 008F 0090 0091 0092 0094 0095
071,09,00,009B 002D
071,10,00,009B 002D
071,11,00,008E 008F 0090 0091 0092 0093 0094 0095
071,12,00,00E1
072,00,00,006C 0009 000E 00A4 0089 0133 012F 0098
072,00,01,006C 0009 000E 00A4 0089 0133 012F 0098
072,00,02,006C 0009 000E 00A4 0089 0133 012F 0098
072,00,03,006C 0009 000E 00A4 0089 0133 012F 0098
072,00,04,006C 0009 000E 00A4 0089 0133 012F 0098 0190 00A8
072,00,05,006C 0009 000E 00A4 0089 0133 012F 0098 0190 00A8
072,00,06,006C 0009 000E 00A4 0089 0133 012F 0098 0190 00A8
073,00,00,015B 012F
074,00,00,0087 0097 009B 008E 0095 0094 0092 0191
074,04,00,0097 0191
074,05,00,001D 0087
074,06,00,001D 0087
075,00,00,000A 0085 00CE 00D9 00BF 0160 00BD 0178 017F 0013 016B
076,00,00,00F0 012C 018B
076,00,01,0013 0088
076,00,02,012C 00C0
077,00,00,0097 012C 0170 016B 0024
077,02,00,012C 0189
078,00,00,010F
079,00,00,0185 0186 0153 00E1 017E 014F 0060 0177
079,04,00,0060 014C 014E 0186 017A
080,00,00,015E 0111 0107 0024 0029 0034 00C5
081,00,00,002F 007C 012F 0131 0018 0163 0184
081,01,00,002F 007C 012F 0018 0163 0184 00C5 013C 00DE
081,02,00,0166 007C 012F 006D 001A 0163
081,04,00,002F 0191 002D 0046 009B 0047 0087
081,05,00,002F 0191 002D 0046 009B 0047 0087 00DE 011A
081,06,00,002F 0191 0046 0047 0087 00DE
081,07,00,002F 007C 001A 014A
081,08,00,002F 007C 001A
081,09,00,002F 007C 001A
081,10,00,002F 007C 001A
081,11,00,002F 0060 0092 0048 014E
081,12,00,002F 007C 00DE 0087
082,00,00,00F9 0181 0097 007C 0013 00C5 0110 012F 00EC 012C 017A 0121 0122 0170
082,01,00,00F9 0181 0097 007C 00C5 0024 012C 017A 0128 012F 00EC 0170
082,02,00,00F9 0180 007C 00C5 0110 012F 00EC 0170 017A 0111 0107 0182 010C 0013
082,03,00,00F9 0180 007C 00C5 012F 0170 017A 0111 0107 0182 010C 0024 00EC
082,04,00,00F9 007C 0013 008A 00B1 002C 017A 0180 0170
082,05,00,00F9 0097 007C 0013 008A 017A 0180 0170
082,06,00,00F9 007C
082,07,00,00F9 0097 00C5 0105 0107 0108 010D 010C 007C 0013 00EC 014D 017A
082,08,00,00F9 0097 00C5 0105 0107 0108 010D 010C 007C 0013 00EC 017A
083,00,00,00A1 00A4
083,01,00,00A1 00A4
083,02,00,00A1 00A4
083,03,00,00A1 00A4
083,04,00,00A1 0061 0063 0090 00A4 0009 0089 00A2 0013 011E 000E
083,05,00,00A1 0061 0063 0090 00A4 0009 0089 00A2 0013 011E 000E 00F9
083,00,01,00A1 00F9 0061 0063 0090 006E 00A2 011E 0145 012F 0009 0188 0024 0170
083,01,01,00A1 0061 0063 0090 00F9 006E 00A2 011E 0089 012F 0009 0188 0024 0170
083,02,01,00A1 00F9 0061 0063 0090 0009 00A2 011E 012F 006E 0188 0170 0048
083,03,01,00A1 00F9 0061 0063 0090 0009 00A2 011E 012F 006E 0188 0170 0048
083,04,01,00A1 0061 0063 0090 00A4 0009 0089 00A2 0013 011E 000E
083,05,01,00A1 0061 0063 0090 00A4 0009 0089 00A2 0013 011E 000E 00F9
084,00,00,0112 0188 012F 0163 0013 0024 0007 0016 011E 0127 0131 00E6 0090 007C
084,02,00,0112 012F 001A 0163 0188 0024 0007 011E 000E
084,00,01,0112 0188 012F 0163 0013 0024
084,02,01,0112 012F 001A 0163 0188 0024
085,00,00,012F 0188 011E 00FC 00FD 00C5 00FB 00BC 00B7 0024 013D
085,02,00,0039 0188 012F 0024 0007 004A 011E
085,03,00,0188 012F 011E 00FC 00FD 00C5 0024
085,07,00,00BC 00FC 00FD 00FB 00C5 012F
085,08,00,002A 00AD 0061 0068 00BC 00FC 00FD 00FB 00C5
085,09,00,002A 00AD 0061 0068 00BC 00FC 00FD 00FB 00C5
085,10,00,002A
085,11,00,002A 007C 012F
085,12,00,002A 00C5 00FC 00FD 012F
085,00,01,012F 0188 011E 002A 0039
085,02,01,0039 0188 002A
085,03,01,0188 012F 011E 002A 00CC
085,04,01,002A 0093 0091
085,05,01,002A 0077 007C 0048
085,06,01,002A 00AD 0090
085,07,01,002A 0061 0068
085,08,01,002A 00AD 0061 0068
085,09,01,002A 00AD 0061 0068
085,10,01,002A 00CC
085,11,01,002A 007C 012F
085,12,01,002A 00CC 012F 0048
085,13,01,002A 00CC
085,00,02,012F 011F 000E 012B
086,00,00,0161 0061 0067 004A 0090 00BC 0163 0183 0188
086,02,00,0061 0067 0090 008A 0163 0030 0188 0024 0154 0048
086,04,00,0061 0067 0068 0039 004A 0018 008A 00B6 0090
086,05,00,0061 0067 0068 0039 004A 0018 008A 00B6 0090 00BC
