Index	VRom Start	VRom End	Filename	Description
100	00C913F0	00C91AD0	ovl_Bg_Ydan_Maruta	Rotating Spike Cylinder (Deku Tree)
101	00C91AD0	00C96840	ovl_Boss_Ganondrof	Phantom Ganon
102	00C96840	00C98C40	ovl_En_Am	Armos Statue
103	00C98C40	00C9C6E0	ovl_En_Dekubaba	Deku Baba (Snapping)
104	00C9C6E0	00C9C880	ovl_En_M_Fire1	Deku Nuts (Link)
105	00C9C880	00C9DE70	ovl_En_M_Thunder	Spin Attack
106	00C9DE70	00C9E4C0	ovl_Bg_Ddan_Jd	Rising Stone Platform (Dodongo's Cavern)
107	00C9E4C0	00C9F330	ovl_Bg_Breakwall	Bombable Wall
108	00C9F330	00CA0900	ovl_En_Jj	Lord Jabu-Jabu
109	00CA0900	00CA13F0	ovl_En_Horse_Zelda	Zelda's Horse
110	00CA13F0	00CA1CE0	ovl_Bg_Ddan_Kd	Stone Stairs
111	00CA1CE0	00CA5F80	ovl_Door_Warp1	Warp Portals
112	00CA5F80	00CA6BB0	ovl_Obj_Syokudai	Torch
113	00CA6BB0	00CA6FA0	ovl_Item_B_Heart	Heart Container
114	00CA6FA0	00CA87A0	ovl_En_Dekunuts	Deku Scrub
115	00CA87A0	00CA8930	ovl_Bg_Menkuri_Kaiten	Large Rotating Stone Ring
116	00CA8930	00CA8DC0	ovl_Bg_Menkuri_Eye	Eye Statue Switch
117	00CA8DC0	00CAB460	ovl_En_Vali	Bari (Big Jellyfish)
118	00CAB460	00CAC5F0	ovl_Bg_Mizu_Movebg	Water Temple Platforms / Dragonhead Statues
119	00CAC5F0	00CAD2C0	ovl_Bg_Mizu_Water	Large Water Square
120	00CAD2C0	00CAE020	ovl_Arms_Hook	Hookshot
121	00CAE020	00CB0950	ovl_En_fHG	Phantom Ganon's Horse
122	00CB0950	00CB1620	ovl_Bg_Mori_Hineri	Twisted Hallway Room
123	00CB1620	00CB52F0	ovl_En_Bb	Bubble (Flying Skull Enemy)
124	00CB52F0	00CB6090	ovl_Bg_Toki_Hikari	Temple of Time Windows
125	00CB6090	00CB66A0	ovl_En_Yukabyun	Flying Floor Tile
126	00CB66A0	00CB7CF0	ovl_Bg_Toki_Swd	Master Sword
127	00CB7CF0	00CBA310	ovl_En_Fhg_Fire	Phantom Ganon's Lighting Attack
128	00CBA310	00CBA6F0	ovl_Bg_Mjin	Warp Pad
129	00CBA6F0	00CBAC70	ovl_Bg_Hidan_Kousi	Metal Gate
130	00CBAC70	00CBADD0	ovl_Door_Toki	Invisible Wall
131	00CBADD0	00CBBC60	ovl_Bg_Hidan_Hamstep	Stone Steps and Platforms (Fire Temple)
132	00CBBC60	00CBC120	ovl_En_Bird	Brown Bird
133	00CBC120	00CBD2F0	ovl_En_Wood02	Greenery
134	00CBD2F0	00CBD770	ovl_En_Lightbox	Large Noisy Stone
135	00CBD770	00CBDAB0	ovl_En_Pu_box	Stone Cube
136	00CBDAB0	00CBED50	ovl_En_Trap	Sliding Spiked Metal Trap
137	00CBED50	00CBEEA0	ovl_En_Arow_Trap	Proximity Arrow Trap (incomplete)
138	00CBEEA0	00CBEFA0	ovl_En_Vase	Orange Pot (Alpha)
139	00CBEFA0	00CC2960	ovl_En_Ta	Talon
140	00CC2960	00CC4790	ovl_En_Tk	Dampe (Gravedigging Tour)
141	00CC4790	00CC50C0	ovl_Bg_Mori_Bigst	Large Round Platform (Forest Temple)
142	00CC50C0	00CC5BB0	ovl_Bg_Mori_Elevator	Forest Temple Elevator
143	00CC5BB0	00CC6210	ovl_Bg_Mori_Kaitenkabe	Forest Temple Rotating Walls
144	00CC6210	00CC6B80	ovl_Bg_Mori_Rakkatenjo	Forest Temple Falling Ceiling
145	00CC6B80	00CC8430	ovl_En_Vm	Beamos
146	00CC8430	00CCDF30	ovl_Demo_Effect	Spiritual Stones
147	00CCDF30	00CD1BE0	ovl_Demo_Kankyo	Temple of Time Objects
148	00CD1BE0	00CD28C0	ovl_Bg_Hidan_Fwbig	Large Flame Wall
149	00CD28C0	00CD5CA0	ovl_En_Floormas	Floormaster
150	00CD5CA0	00CD71B0	ovl_En_Heishi1	Castle Courtyard Guards
151	00CD71B0	00CD9A60	ovl_En_Rd	Redead
152	00CD9A60	00CDE750	ovl_En_Po_Sisters	Meg (Poe Sister)
153	00CDE750	00CE0040	ovl_Bg_Heavy_Block	Golden Gauntlets Rock
154	00CE0040	00CE1E70	ovl_Bg_Po_Event	Poe Puzzle Block
155	00CE1E70	00CE2E80	ovl_Obj_Mure	Butterflies
156	00CE2E80	00CE65F0	ovl_En_Sw	Skullwalltula
157	00CE65F0	00CED920	ovl_Boss_Fd	Flying Volvagia
158	00CED920	00CF0B40	ovl_Object_Kankyo	Environmental Effects (Fairy Sprites?)
159	00CF0B40	00CF25E0	ovl_En_Du	Darunia
160	00CF25E0	00CF52A0	ovl_En_Fd	Flare Dancer
161	00CF52A0	00CF70A0	ovl_En_Horse_Link_Child	Young Epona
162	00CF70A0	00CF7710	ovl_Door_Ana	Hole in Ground Exit
163	00CF7710	00CF8A60	ovl_Bg_Spot02_Objects	Graveyard Actors
164	00CF8A60	00CF9120	ovl_Bg_Haka	Gravestone
165	00CF9120	00CFAE20	ovl_Magic_Wind	Farore's Wind
166	00CFAE20	00CFD0F0	ovl_Magic_Fire	Din's Fire
167	00CFD0F0	00D04790	ovl_En_Ru1	Child Princess Ruto
168	00D04790	00D084C0	ovl_Boss_Fd2	Hole Volvagia
169	00D084C0	00D091D0	ovl_En_Fd_Fire	Fireball
170	00D091D0	00D0ACA0	ovl_En_Dh	Dead Hand
171	00D0ACA0	00D0BC70	ovl_En_Dha	Dead Hand's Hand
172	00D0BC70	00D0CB50	ovl_En_Rl	Rauru
173	00D0CB50	00D0D6B0	ovl_En_Encount1	Enemy Spawner
174	00D0D6B0	00D10E90	ovl_Demo_Du	Sage Darunia (Cutscene)
175	00D10E90	00D14E00	ovl_Demo_Im	Impa
176	00D14E00	00D15510	ovl_Demo_Tre_Lgt	Treasure Chest Light
177	00D15510	00D16CC0	ovl_En_Fw	Flare Dancer Core Creature
178	00D16CC0	00D173D0	ovl_Bg_Vb_Sima	Volvagia Platform
179	00D173D0	00D18570	ovl_En_Vb_Ball	Volvagia Rocks
180	00D18570	00D18970	ovl_Bg_Haka_Megane	Shadow Temple Fake Walls
181	00D18970	00D19030	ovl_Bg_Haka_MeganeBG	Platforms (Shadow Temple)
182	00D19030	00D19A70	ovl_Bg_Haka_Ship	Shadow Temple Ship
183	00D19A70	00D1A690	ovl_Bg_Haka_Sgami	Spinning Scythe Trap
184	00D1A690	00D1C890	ovl_En_Heishi2	Hyrulian Guards
185	00D1C890	00D1DAC0	ovl_En_Encount2	Falling Rock Spawner
186	00D1DAC0	00D1EBD0	ovl_En_Fire_Rock	Flying Rubble
187	00D1EBD0	00D1FCC0	ovl_En_Brob	Flobbery Muscle Block (Jabu-Jabu)
188	00D1FCC0	00D21580	ovl_Mir_Ray	Sun Block Switch
189	00D21580	00D21A90	ovl_Bg_Spot09_Obj	Gerudo Valley Objects
190	00D21A90	00D22360	ovl_Bg_Spot18_Obj	Statue from Darunia's room 
191	00D22360	00D30B50	ovl_Boss_Va	Barinade
192	00D30B50	00D31570	ovl_Bg_Haka_Tubo	Giant skull jar (blue flames on top, ejects key when destroyed)
193	00D31570	00D32B40	ovl_Bg_Haka_Trap	Shadow Temple objects
194	00D32B40	00D335E0	ovl_Bg_Haka_Huta	Coffin lid
195	00D335E0	00D347D0	ovl_Bg_Haka_Zou	Statue and Wall (Shadow Temple)
196	00D347D0	00D34A20	ovl_Bg_Spot17_Funen	Crater smoke cone
197	00D34A20	00D357C0	ovl_En_Syateki_Itm	Shooting Gallery Game
198	00D357C0	00D36580	ovl_En_Syateki_Man	Shooting Gallery man 
199	00D36580	00D36820	ovl_En_Tana	Shop shelves
200	00D36820	00D3ADF0	ovl_En_Nb	Nabooru
201	00D3ADF0	00D46390	ovl_Boss_Mo	Morpha 
202	00D46390	00D477D0	ovl_En_Sb	Shell Blade 
203	00D477D0	00D4A2E0	ovl_En_Bigokuta	Big Octo
204	00D4A2E0	00D4BBD0	ovl_En_Karebaba	Withered Deku Baba
205	00D4BBD0	00D4CEA0	ovl_Bg_Bdan_Objects	Lord Jabu-Jabu objects 
206	00D4CEA0	00D4F9C0	ovl_Demo_Sa	Saria Cutscenes? Receiving medallion
207	00D4F9C0	00D50720	ovl_Demo_Go	Gorons (Cutscene)
208	00D50720	00D53480	ovl_En_In	Ingo
209	00D53480	00D54D80	ovl_En_Tr	Koume  and Kotake
210	00D54D80	00D562C0	ovl_Bg_Spot16_Bombstone	Dodongo Cavern Entrance Rock
211	00D562C0	00D57190	ovl_Bg_Hidan_Kowarerukabe	Bombable walls (Fire Temple)
212	00D57190	00D57A50	ovl_Bg_Bombwall	2D bombable wall (Defunct?)
213	00D57A50	00D5A7D0	ovl_En_Ru2	Adult Ruto (Defunct?)
214	00D5A7D0	00D5AE10	ovl_Obj_Dekujr	Deku Tree Sprout
215	00D5AE10	00D5AFE0	ovl_Bg_Mizu_Uzu	Water noise 
216	00D5AFE0	00D5C3F0	ovl_Bg_Spot06_Objects	Lake Hylia Objects
217	00D5C3F0	00D5D330	ovl_Bg_Ice_Objects	Movable ice block
218	00D5D330	00D5DB10	ovl_Bg_Haka_Water	Bottom of The Well Water Changer
219	00D5DB10	00D5EB70	ovl_En_Ma2	Adult Malon
220	00D5EB70	00D60210	ovl_En_Bom_Chu	Bombchu 
221	00D60210	00D612E0	ovl_En_Horse_Game_Check	Horseback Games
222	00D612E0	00D74360	ovl_Boss_Tw	Twinrova
223	00D74360	00D76880	ovl_En_Rr	Like-Like
224	00D76880	00D78750	ovl_En_Ba	Tentacle from inside Lord Jabu-Jabu
225	00D78750	00D79240	ovl_En_Bx	Blocking tentacle from inside Lord Jabu-Jabu
226	00D79240	00D7A4F0	ovl_En_Anubice	Anubis Statue
227	00D7A4F0	00D7B2B0	ovl_En_Anubice_Fire	Fire thing (possibly from Anubis, only appears when cutscene mode is off)
228	00D7B2B0	00D7BB70	ovl_Bg_Mori_Hashigo	Forest Temple ladder (with object 0073)
229	00D7BB70	00D7C0F0	ovl_Bg_Mori_Hashira4	Forest Temple elements (with object 0073)
230	00D7C0F0	00D7C730	ovl_Bg_Mori_Idomizu	Invisible geometry (Defunct?)
231	00D7C730	00D7CCE0	ovl_Bg_Spot16_Doughnut	Death Mountain cloud ring
232	00D7CCE0	00D7E110	ovl_Bg_Bdan_Switch	Switch from inside Lord Jabu-Jabu
233	00D7E110	00D7F3F0	ovl_En_Ma1	Child Malon (Defunct?)
234	00D7F3F0	00DA1660	ovl_Boss_Ganon	Ganondorf Boss (with objects 017C + 017D)
235	00DA1660	00DADB80	ovl_Boss_Sst	Bongo Bongo
236	00DADB80	00DAF4B0	ovl_En_Ny	Spike enemy
237	00DAF4B0	00DB1F40	ovl_En_Fr	Song Frogs
238	00DB1F40	00DB2950	ovl_Item_Shield	Deku shield
239	00DB2950	00DB3B80	ovl_Bg_Ice_Shelter	Red Ice
240	00DB3B80	00DB4D70	ovl_En_Ice_Hono	Blue Flame
241	00DB4D70	00DB5540	ovl_Item_Ocarina	Ocarina of Time
242	00DB5540	00DB6D90	ovl_Magic_Dark	Nayru's Love 
243	00DB6D90	00DB9AA0	ovl_Demo_6K	Sages, Balls of Light (Cutscene)
244	00DB9AA0	00DB9D70	ovl_En_Anubice_Tag	Anubis
245	00DB9D70	00DBADF0	ovl_Bg_Haka_Gate	Shadow Temple Truth Spinner
246	00DBADF0	00DBB130	ovl_Bg_Spot15_Saku	Hyrule castle fence (looks like the one inside the castle; green)
247	00DBB130	00DBB8B0	ovl_Bg_Jya_Goroiwa	Giant rolling boulder
248	00DBB8B0	00DBBF60	ovl_Bg_Jya_Zurerukabe	Sliding, climbable brick wall (Spirit Temple)
249	00DBBF60	00DBDC80	ovl_Bg_Jya_Cobra	Rotating Cobra mirror (Spirit Temple)
250	00DBDC80	00DBE030	ovl_Bg_Jya_Kanaami	Climbable Metal Grating (Fire Temple)
251	00DBE030	00DD1A00	ovl_Fishing	Fishing Pond Minigame (Both Man and Fish)
252	00DD1A00	00DD34B0	ovl_Obj_Oshihiki	Movable Block
253	00DD34B0	00DD3930	ovl_Bg_Gate_Shutter	Death Mountain Trail Gate
254	00DD3930	00DD4D10	ovl_Eff_Dust	Sparklies gathering together
255	00DD4D10	00DD4FB0	ovl_Bg_Spot01_Fusya	Windmill sails
256	00DD4FB0	00DD5BB0	ovl_Bg_Spot01_Idohashira	Kakariko village well crossbeam
257	00DD5BB0	00DD5EC0	ovl_Bg_Spot01_Idomizu	Kakariko village well water
258	00DD5EC0	00DD6810	ovl_Bg_Po_Syokudai	Golden torch stand (granite base)
259	00DD6810	00DD8E50	ovl_Bg_Ganon_Otyuka	Falling Platform (Ganondorf Fight)
260	00DD8E50	00DD9C30	ovl_Bg_Spot15_Rrbox	Milk crate
261	00DD9C30	00DD9DC0	ovl_Bg_Umajump	Lon Lon Ranch Obstacle Fence
262	00DD9DC0	00DDC2E0	ovl_En_Insect	Bugs
263	00DDC2E0	00DDD8B0	ovl_En_Butte	Butterfly
264	00DDD8B0	00DDF9C0	ovl_En_Fish	Fish
265	00DDF9C0	00DE0A00	ovl_Bg_Spot08_Iceblock	Zora's Fountain Ice Blocks
266	00DE0A00	00DE12D0	ovl_Item_Etcetera	GI Collectables (Shields, Bottles)
267	00DE12D0	00DE3190	ovl_Arrow_Fire	Fire Arrow
268	00DE3190	00DE5070	ovl_Arrow_Ice	Ice Arrow
269	00DE5070	00DE6F60	ovl_Arrow_Light	Light Arrow
270	00DE6F60	00DE7C60	ovl_Obj_Kibako	Small Wooden Crate (Alpha giant, liftable fish)
271	00DE7C60	00DE8C50	ovl_Obj_Tsubo	Breakable pot
272	00DE8C50	00DE98A0	ovl_En_Wonder_Item	Invisible collectible 
273	00DE98A0	00DEDED0	ovl_En_Ik	Iron Knuckle
274	00DEDED0	00DEF3E0	ovl_Demo_Ik	Iron Knuckle Armor Pieces
275	00DEF3E0	00DF2D10	ovl_En_Skj	Skullkid
276	00DF2D10	00DF3020	ovl_En_Skjneedle	Skullkid Needle Attack?
277	00DF3020	00DF4850	ovl_En_G_Switch	Silver Rupee/Large Rotating Pot
278	00DF4850	00DF5190	ovl_Demo_Ext	Vortex (Koume/Kotake Kidnap Nabooru)
279	00DF5190	00DF75A0	ovl_Demo_Shd	Bongo Bongo Shadow
280	00DF75A0	00DF8930	ovl_En_Dns	Deku salesman (already out?)
281	00DF8930	00DF8F20	ovl_Elf_Msg	Navi information spot
282	00DF8F20	00DFA470	ovl_En_Honotrap	Stone Eye Flamethrower
283	00DFA470	00DFB110	ovl_En_Tubo_Trap	Flying Pot
284	00DFB110	00DFBAC0	ovl_Obj_Ice_Poly	Switch Covering Ice
285	00DFBAC0	00DFC3B0	ovl_Bg_Spot03_Taki	Zora's River waterfall
286	00DFC3B0	00DFC970	ovl_Bg_Spot07_Taki	Zora's Domain waterfall
287	00DFC970	00DFE980	ovl_En_Fz	Frezzard
288	00DFE980	00E00090	ovl_En_Po_Relay	Dampe's Ghost
289	00E00090	00E00840	ovl_Bg_Relay_Objects	Rotating windmill mechanism
290	00E00840	00E021F0	ovl_En_Diving_Game	Zora diving game
291	00E021F0	00E036D0	ovl_En_Kusa	Liftable & cutable, respawning grass clump
292	00E036D0	00E05E60	ovl_Obj_Bean	Bean planting spot
293	00E05E60	00E063D0	ovl_Obj_Bombiwa	Brown boulder
294	00E063D0	00E08190	ovl_Obj_Switch	Switches (make puzzle solved sound when triggered, one-time only)
295	00E08190	00E08550	ovl_Obj_Elevator	Huge stone elevator (Alpha)
296	00E08550	00E08F70	ovl_Obj_Lift	Square, collapsing platform
297	00E08F70	00E09540	ovl_Obj_Hsblock	Stone Hookshot target
298	00E09540	00E0AA20	ovl_En_Okarina_Tag	Play Ocarina here spot
299	00E0AA20	00E0B0F0	ovl_En_Yabusame_Mark	Horseback Archery target (hitbox)
300	00E0B0F0	00E0D4B0	ovl_En_Goroiwa	Rolling Boulder
301	00E0D4B0	00E0E570	ovl_En_Ex_Ruppy	Sparkling Rupee
302	00E0E570	00E0F200	ovl_En_Toryo	Head Carpenter
303	00E0F200	00E10940	ovl_En_Daiku	Carpenter (Gerudo Valley?)
304	00E10940	00E11380	ovl_En_Nwc	Non-solid round creatures (Alpha!)
305	00E11380	00E118E0	ovl_En_Blkobj	Dark Link's illusion room
306	00E118E0	00E11A40	ovl_Item_Inbox	Unknown
307	00E11A40	00E13A70	ovl_En_Ge1	White clothed Gerudo
308	00E13A70	00E13C10	ovl_Obj_Blockstop	Block Checkpoint
309	00E13C10	00E15250	ovl_En_Sda	Dynamic Shadow for Link (Alpha? Check in Spirit Temple under light), works for all values except 1
310	00E15250	00E1DDC0	ovl_En_Clear_Tag	Enemy Arwing (Alpha!)
311	00E1DDC0	00E1F6A0	ovl_En_Niw_Lady	Kakariko Cucco lady
312	00E1F6A0	00E203D0	ovl_En_Gm	Lockable blue arrow spot
313	00E203D0	00E20AC0	ovl_En_Ms	Bean seller
314	00E20AC0	00E21660	ovl_En_Hs	Carpenter's son (ignores you)
315	00E21660	00E219F0	ovl_Bg_Ingate	Ingo's Gates
316	00E219F0	00E24B40	ovl_En_Kanban	Square signpost
317	00E24B40	00E25510	ovl_En_Heishi3	Hyrule Castle guard
318	00E25510	00E275A0	ovl_En_Syateki_Niw	Hopping Cucco, not solid
319	00E275A0	00E28800	ovl_En_Attack_Niw	Attacking Cucco, not solid
320	00E28800	00E28A10	ovl_Bg_Spot01_Idosoko	Stone Blocking the Well Entrance
321	00E28A10	00E2AC80	ovl_En_Sa	Saria
322	00E2AC80	00E2B310	ovl_En_Wonder_Talk	Checkable spot, Navi hovers over it in green hue (has the bean seller’s 10 rupee please text)
323	00E2B310	00E2B810	ovl_Bg_Gjyo_Bridge	Rainbow Bridge
324	00E2B810	00E2C430	ovl_En_Ds	Potion Shop hag
325	00E2C430	00E2D2C0	ovl_En_Mk	Lakeside Professor
326	00E2D2C0	00E2E800	ovl_En_Bom_Bowl_Man	Bombchu Bowling alley lady
327	00E2E800	00E2F170	ovl_En_Bom_Bowl_Pit	Bombchu Bowling Pit
328	00E2F170	00E32D10	ovl_En_Owl	Kaepora Gaebora
329	00E32D10	00E3BE60	ovl_En_Ishi	Small rock (may cause glitched graphics in certain places)
330	00E3BE60	00E3C170	ovl_Obj_Hana	Grave flower
331	00E3C170	00E3D5A0	ovl_Obj_Lightswitch	Sun Emblem Trigger (Spirit Temple)
332	00E3D5A0	00E3DFC0	ovl_Obj_Mure2	Groups of small dispensers
333	00E3DFC0	00E42600	ovl_En_Go	Goron (Cutscene?)
334	00E42600	00E43340	ovl_En_Fu	Windmill man
335	00E43340	00E43D20	ovl_En_Changer	Freezes when touch
336	00E43D20	00E44F00	ovl_Bg_Jya_Megami	Large stone face (Spirit Temple)
337	00E44F00	00E45450	ovl_Bg_Jya_Lift	Chain Platform (Spirit Temple)
338	00E45450	00E45C90	ovl_Bg_Jya_Bigmirror	Large Circular Mirror (Spirit Temple)
339	00E45C90	00E467C0	ovl_Bg_Jya_Bombchuiwa	Light blocking rock (Bombchu; Spirit Temple)
340	00E467C0	00E46B50	ovl_Bg_Jya_Amishutter	Circular metal grating (Spirit Temple)
341	00E46B50	00E47110	ovl_Bg_Jya_Bombiwa	Bombable rock wall (Spirit Temple)
342	00E47110	00E48100	ovl_Bg_Spot18_Basket	Giant three sided Goron statue
343	00E48100	00E4F100	ovl_En_Ganon_Organ	Ganon's Organ and surroundings
344	00E4F100	00E4FEB0	ovl_En_Siofuki	Water spout
345	00E4FEB0	00E50440	ovl_En_Stream	Whirlpool effect
346	00E50440	00E51A60	ovl_En_Mm	Running man (Child Link version)
347	00E51A60	00E55BA0	ovl_En_Ko	Kokiri
348	00E55BA0	00E570B0	ovl_En_Kz	King Zora
349	00E570B0	00E57FA0	ovl_En_Weather_Tag	Proximity Rain/Weather Effects
350	00E57FA0	00E58500	ovl_Bg_Sst_Floor	Bongo Bongo's Drum
351	00E58500	00E59270	ovl_En_Ani	Kakariko village rooftop man
352	00E59270	00E5A3E0	ovl_En_Ex_Item	Lost Woods Slingshot Game
353	00E5A3E0	00E5B190	ovl_Bg_Jya_Ironobj	Iron Knuckles Room Stuff (Spirit Temple)
354	00E5B190	00E5BB60	ovl_En_Js	Magic carpet man
355	00E5BB60	00E60920	ovl_En_Jsjutan	Flying Carpet
356	00E60920	00E61B50	ovl_En_Cs	Graveyard boy
357	00E61B50	00E641C0	ovl_En_Md	Mido
358	00E641C0	00E67B00	ovl_En_Hy	Market NPCs
359	00E67B00	00E6BD20	ovl_En_Ganon_Mant	? (seems to slow down the game a bit, but only in free-roaming mode)
360	00E6BD20	00E6C0D0	ovl_En_Okarina_Effect	Rain and lightning
361	00E6C0D0	00E6EFE0	ovl_En_Mag	Makes map blue
362	00E6EFE0	00E6F5D0	ovl_Door_Gerudo	Metal grate door (Navi says you have the wrong kind of key, boss door?)
363	00E6F5D0	00E6FA40	ovl_Elf_Msg2	Targetable Navi spot, green (variable values match that of actor 11B)
364	00E6FA40	00E75040	ovl_Demo_Gt	Ganon's Tower Collapsing
365	00E75040	00E78A20	ovl_En_Po_Field	Big Poe
366	00E78A20	00E79500	ovl_Efc_Erupc	Lava particle fountain (Death Mountain panorama)
367	00E79500	00E79970	ovl_Bg_Zg	Metal bars (Ganon's Castle)
